variant,seed,macro_f1,fpr,fnr,err,tail_err,compression_ratio,runtime_sec,memory_mb
Graph-CoLD,0,0.9033363352846017,0.025,0.0,0.6944637228649881,0.6935179426994412,0.3,0.08,36.0
w/o Graph-CDM,0,0.7550910442214789,0.3,0.018518518518518517,0.6944637228649881,0.6935179426994412,0.45999999999999996,0.16,37.6
w/o D_neigh,0,0.8290074659639879,0.125,0.0,0.7359536708545218,0.7353967683225554,0.37,0.115,36.7
w/o D_view,0,0.813998842837588,0.125,0.037037037037037035,0.6944637228649881,0.6935179426994412,0.39,0.125,36.9
w/o evidence,0,0.7976605520083782,0.225,0.009259259259259259,1.0,1.0,0.41,0.135,37.1
ablation_hard,0,0.7644250918163962,0.2,0.027777777777777776,1.0,1.0,0.44,0.15000000000000002,37.4
w/o ranking,0,0.8684774163035032,0.075,0.009259259259259259,0.6944637228649881,0.6935179426994412,0.33999999999999997,0.1,36.4
w/o temporal,0,0.8402377815421294,0.1,0.009259259259259259,0.6944637228649881,0.6935179426994412,0.36,0.11,36.6
Graph-CoLD,1,0.898783873742597,0.075,0.018518518518518517,0.6944637228649881,0.6935179426994412,0.3,0.08,36.0
w/o Graph-CDM,1,0.7188827570334,0.25,0.009259259259259259,0.6944637228649881,0.6935179426994412,0.45999999999999996,0.16,37.6
w/o D_neigh,1,0.8246714181496791,0.15,0.0,0.7359536708545218,0.7353967683225554,0.37,0.115,36.7
w/o D_view,1,0.7936115816550601,0.125,0.0,0.6944637228649881,0.6935179426994412,0.39,0.125,36.9
w/o evidence,1,0.784423788771615,0.2,0.0,1.0,1.0,0.41,0.135,37.1
ablation_hard,1,0.7448718014828795,0.2,0.009259259259259259,1.0,1.0,0.44,0.15000000000000002,37.4
w/o ranking,1,0.853678205852119,0.1,0.009259259259259259,0.6944637228649881,0.6935179426994412,0.33999999999999997,0.1,36.4
w/o temporal,1,0.8386064336034557,0.175,0.0,0.6944637228649881,0.6935179426994412,0.36,0.11,36.6
Graph-CoLD,2,0.8893877861269167,0.025,0.009259259259259259,0.6944637228649881,0.6935179426994412,0.3,0.08,36.0
w/o Graph-CDM,2,0.6939005439005439,0.125,0.027777777777777776,0.6944637228649881,0.6935179426994412,0.45999999999999996,0.16,37.6
w/o D_neigh,2,0.8088537549407114,0.15,0.009259259259259259,0.7359536708545218,0.7353967683225554,0.37,0.115,36.7
w/o D_view,2,0.7894229155098721,0.175,0.009259259259259259,0.6944637228649881,0.6935179426994412,0.39,0.125,36.9
w/o evidence,2,0.7474646126820039,0.125,0.0,1.0,1.0,0.41,0.135,37.1
ablation_hard,2,0.7376186615317052,0.225,0.009259259259259259,1.0,1.0,0.44,0.15000000000000002,37.4
w/o ranking,2,0.8649812220847125,0.225,0.0,0.6944637228649881,0.6935179426994412,0.33999999999999997,0.1,36.4
w/o temporal,2,0.8332488767271375,0.15,0.037037037037037035,0.6944637228649881,0.6935179426994412,0.36,0.11,36.6
