dataset,method,seed,macro_f1,fpr,fnr,err,tail_err,compression_ratio,topk_hits,d_chain_enabled
optc_synthetic,Graph-CoLD,0,1.0,0.0,0.0,0.8999999999999999,0.86,0.2,5,True
optc_synthetic,CoLD,0,0.855653568564555,0.20833333333333334,0.0,0.8775999999999999,0.8376,0.23360000000000003,5,True
optc_synthetic,Flash,0,0.8246753246753247,0.20833333333333334,0.08333333333333333,0.86,0.8200000000000001,0.26,5,True
optc_synthetic,Argus,0,0.8246753246753247,0.20833333333333334,0.08333333333333333,0.8623999999999999,0.8224,0.2564,5,True
optc_synthetic,Graph-CoLD,1,1.0,0.0,0.0,0.8999999999999999,0.86,0.2,5,True
optc_synthetic,CoLD,1,0.8518518518518519,0.16666666666666666,0.08333333333333333,0.8775999999999999,0.8376,0.23360000000000003,5,True
optc_synthetic,Flash,1,0.8246753246753247,0.20833333333333334,0.08333333333333333,0.86,0.8200000000000001,0.26,5,True
optc_synthetic,Argus,1,0.8246753246753247,0.20833333333333334,0.08333333333333333,0.8623999999999999,0.8224,0.2564,5,True
optc_synthetic,Graph-CoLD,2,1.0,0.0,0.0,0.8999999999999999,0.86,0.2,5,True
optc_synthetic,CoLD,2,0.8468085106382979,0.125,0.16666666666666666,0.8775999999999999,0.8376,0.23360000000000003,5,True
optc_synthetic,Flash,2,0.8193979933110368,0.16666666666666666,0.16666666666666666,0.86,0.8200000000000001,0.26,5,True
optc_synthetic,Argus,2,0.8193979933110368,0.16666666666666666,0.16666666666666666,0.8623999999999999,0.8224,0.2564,5,True
