Dataset,Variant,Macro-F1,ERR,ERR_tail,ERR_final,retained_fraction_clean_informative,compression_ratio
CICIDS-2017,Graph-CoLD-full,0.2986 +/- 0.0154,0.9413 +/- 0.0202,0.9350 +/- 0.0219,0.9382 +/- 0.0155,0.9533 +/- 0.0176,0.9996 +/- 0.0003
CICIDS-2017,ablation_hard,0.2993 +/- 0.0192,0.9413 +/- 0.0202,0.9350 +/- 0.0219,0.9382 +/- 0.0155,0.9533 +/- 0.0176,0.9996 +/- 0.0003
CICIDS-2017,Graph-CoLD-no-D_neigh,0.3013 +/- 0.0086,0.9413 +/- 0.0202,0.9350 +/- 0.0219,0.9382 +/- 0.0155,0.9533 +/- 0.0176,0.9996 +/- 0.0003
CICIDS-2017,Graph-CoLD-no-D_view,0.3023 +/- 0.0126,0.9413 +/- 0.0202,0.9350 +/- 0.0219,0.9382 +/- 0.0155,0.9533 +/- 0.0176,0.9996 +/- 0.0003
CICIDS-2017,Graph-CoLD-no-evidence,0.3038 +/- 0.0166,0.9413 +/- 0.0202,0.9350 +/- 0.0219,0.9382 +/- 0.0155,0.9533 +/- 0.0176,0.9996 +/- 0.0003
CESNET-TLS-Year22,Graph-CoLD-full,0.6656 +/- 0.0393,0.9558 +/- 0.0225,0.9415 +/- 0.0306,0.9487 +/- 0.0265,0.9533 +/- 0.0182,0.9998 +/- 0.0004
CESNET-TLS-Year22,ablation_hard,0.6654 +/- 0.0371,0.9558 +/- 0.0225,0.9415 +/- 0.0306,0.9487 +/- 0.0265,0.9533 +/- 0.0182,0.9998 +/- 0.0004
CESNET-TLS-Year22,Graph-CoLD-no-D_neigh,0.6625 +/- 0.0373,0.9558 +/- 0.0225,0.9415 +/- 0.0306,0.9487 +/- 0.0265,0.9533 +/- 0.0182,0.9998 +/- 0.0004
CESNET-TLS-Year22,Graph-CoLD-no-D_view,0.6603 +/- 0.0410,0.9558 +/- 0.0225,0.9415 +/- 0.0306,0.9487 +/- 0.0265,0.9533 +/- 0.0182,0.9998 +/- 0.0004
CESNET-TLS-Year22,Graph-CoLD-no-evidence,0.6604 +/- 0.0393,0.9558 +/- 0.0225,0.9415 +/- 0.0306,0.9487 +/- 0.0265,0.9533 +/- 0.0182,0.9998 +/- 0.0004
UNSW-NB15,Graph-CoLD-full,0.3448 +/- 0.0169,0.8658 +/- 0.0031,0.7409 +/- 0.0383,0.8033 +/- 0.0207,0.9333 +/- 0.0067,0.9977 +/- 0.0005
UNSW-NB15,ablation_hard,0.3426 +/- 0.0081,0.8658 +/- 0.0031,0.7409 +/- 0.0383,0.8033 +/- 0.0207,0.9333 +/- 0.0067,0.9977 +/- 0.0005
UNSW-NB15,Graph-CoLD-no-D_neigh,0.3276 +/- 0.0082,0.8658 +/- 0.0031,0.7409 +/- 0.0383,0.8033 +/- 0.0207,0.9333 +/- 0.0067,0.9977 +/- 0.0005
UNSW-NB15,Graph-CoLD-no-D_view,0.3489 +/- 0.0151,0.8658 +/- 0.0031,0.7409 +/- 0.0383,0.8033 +/- 0.0207,0.9333 +/- 0.0067,0.9977 +/- 0.0005
UNSW-NB15,Graph-CoLD-no-evidence,0.3402 +/- 0.0246,0.8658 +/- 0.0031,0.7409 +/- 0.0383,0.8033 +/- 0.0207,0.9333 +/- 0.0067,0.9977 +/- 0.0005
