"dataset","noise_type","cold_macro_f1","graphcold_macro_f1","delta_macro_f1_vs_cold"
"CICIDS-2017","clean","0.671150","0.778689","0.107539"
"CICIDS-2017","symmetric","0.553919","0.592429","0.038510"
"CICIDS-2017","asymmetric","0.322779","0.429941","0.107162"
"CICIDS-2017","graph_consistency","0.496244","0.531555","0.035311"
"CESNET-TLS-Year22","clean","0.966321","0.968261","0.001941"
"CESNET-TLS-Year22","symmetric","0.898812","0.902585","0.003774"
"CESNET-TLS-Year22","asymmetric","0.698745","0.708302","0.009557"
"CESNET-TLS-Year22","graph_consistency","0.846591","0.849355","0.002764"
"UNSW-NB15","clean","0.494282","0.501909","0.007627"
"UNSW-NB15","symmetric","0.445324","0.445923","0.000599"
"UNSW-NB15","asymmetric","0.296512","0.303933","0.007421"
"UNSW-NB15","graph_consistency","0.434276","0.436233","0.001957"
